Date,Close,Tickers
8/13/15,17.620001000000002,BAC
8/14/15,17.700001,BAC
8/17/15,17.77,BAC
8/18/15,17.690001000000002,BAC
8/19/15,17.459999,BAC
8/20/15,16.719998999999998,BAC
8/21/15,16.1,BAC
8/24/15,15.29,BAC
8/25/15,15.26,BAC
8/26/15,16.059998999999998,BAC
8/27/15,16.440001000000002,BAC
8/28/15,16.360001,BAC
8/31/15,16.34,BAC
9/1/15,15.58,BAC
9/2/15,15.85,BAC
9/3/15,15.94,BAC
9/4/15,15.65,BAC
9/8/15,16.16,BAC
9/9/15,15.9,BAC
9/10/15,16.040001,BAC
9/11/15,16.040001,BAC
9/14/15,15.96,BAC
9/15/15,16.309998999999998,BAC
9/16/15,16.33,BAC
9/17/15,15.86,BAC
9/18/15,15.56,BAC
9/21/15,15.7,BAC
9/22/15,15.57,BAC
9/23/15,15.72,BAC
9/24/15,15.55,BAC
9/25/15,15.89,BAC
9/28/15,15.47,BAC
9/29/15,15.35,BAC
9/30/15,15.58,BAC
10/1/15,15.55,BAC
10/2/15,15.38,BAC
10/5/15,15.69,BAC
10/6/15,15.69,BAC
10/7/15,15.75,BAC
10/8/15,15.75,BAC
10/9/15,15.58,BAC
10/12/15,15.52,BAC
10/13/15,15.52,BAC
10/14/15,15.64,BAC
10/15/15,16.190001000000002,BAC
10/16/15,16.120001000000002,BAC
10/19/15,16.139999,BAC
10/20/15,16.200001,BAC
10/21/15,15.9,BAC
10/22/15,16.16,BAC
10/23/15,16.52,BAC
10/26/15,16.51,BAC
10/27/15,16.4,BAC
10/28/15,17.280001000000002,BAC
10/29/15,17.09,BAC
10/30/15,16.780001000000002,BAC
11/2/15,17.059998999999998,BAC
11/3/15,17.18,BAC
11/4/15,17.01,BAC
11/5/15,17.309998999999998,BAC
11/6/15,17.950001,BAC
11/9/15,17.68,BAC
11/10/15,17.85,BAC
11/11/15,17.75,BAC
11/12/15,17.370001000000002,BAC
11/13/15,17.200001,BAC
11/16/15,17.43,BAC
11/17/15,17.42,BAC
11/18/15,17.84,BAC
11/19/15,17.690001000000002,BAC
11/20/15,17.65,BAC
11/23/15,17.469998999999998,BAC
11/24/15,17.469998999999998,BAC
11/25/15,17.440001000000002,BAC
11/27/15,17.48,BAC
11/30/15,17.43,BAC
12/1/15,17.809998999999998,BAC
12/2/15,17.620001000000002,BAC
12/3/15,17.299999,BAC
12/4/15,17.799999,BAC
12/7/15,17.540001,BAC
12/8/15,17.190001000000002,BAC
12/9/15,17.1,BAC
12/10/15,17.200001,BAC
12/11/15,16.73,BAC
12/14/15,16.799999,BAC
12/15/15,17.42,BAC
12/16/15,17.75,BAC
12/17/15,17.299999,BAC
12/18/15,16.76,BAC
12/21/15,16.969998999999998,BAC
12/22/15,17.08,BAC
12/23/15,17.34,BAC
12/24/15,17.27,BAC
12/28/15,17.129998999999998,BAC
12/29/15,17.280001000000002,BAC
12/30/15,17.049999,BAC
12/31/15,16.83,BAC
1/4/16,16.43,BAC
1/5/16,16.43,BAC
1/6/16,16.08,BAC
1/7/16,15.5,BAC
1/8/16,15.2,BAC
1/11/16,15.31,BAC
1/12/16,15.31,BAC
1/13/16,14.9,BAC
1/14/16,14.99,BAC
1/15/16,14.46,BAC
1/19/16,14.24,BAC
1/20/16,13.69,BAC
1/21/16,13.36,BAC
1/22/16,13.56,BAC
1/25/16,12.96,BAC
1/26/16,13.31,BAC
1/27/16,13.36,BAC
1/28/16,13.53,BAC
1/29/16,14.14,BAC
2/1/16,13.96,BAC
2/2/16,13.23,BAC
2/3/16,13.03,BAC
2/4/16,13.25,BAC
2/5/16,12.95,BAC
2/8/16,12.27,BAC
2/9/16,12.2,BAC
2/10/16,11.98,BAC
2/11/16,11.16,BAC
2/12/16,11.95,BAC
2/16/16,12.25,BAC
2/17/16,12.56,BAC
2/18/16,12.24,BAC
2/19/16,12.13,BAC
2/22/16,12.54,BAC
2/23/16,12.16,BAC
2/24/16,12.13,BAC
2/25/16,12.32,BAC
2/26/16,12.7,BAC
2/29/16,12.52,BAC
3/1/16,13.19,BAC
3/2/16,13.41,BAC
3/3/16,13.5,BAC
3/4/16,13.54,BAC
3/7/16,13.53,BAC
3/8/16,13.06,BAC
3/9/16,13.14,BAC
3/10/16,13.27,BAC
3/11/16,13.79,BAC
3/14/16,13.64,BAC
3/15/16,13.57,BAC
3/16/16,13.31,BAC
3/17/16,13.4,BAC
3/18/16,13.79,BAC
3/21/16,13.84,BAC
3/22/16,13.76,BAC
3/23/16,13.62,BAC
3/24/16,13.68,BAC
